,name,review_text_unicode,review_rating,review_likes,review_year,review_date,owner_answer,owner_answer_date,answer_time,"('assessment', 'Customer experience')","('assessment', 'Delivery time')","('assessment', 'Quality of product')","('score', 'Customer experience')","('score', 'Delivery time')","('score', 'Quality of product')"
0,Restaurant ABC,Absolutely love my new sofa! Staff was friendly and the delivery was prompt.,1,10,2022,2022-01-27,Thank you for your feedback!,2022-01-28,1,"Friendly staff, prompt delivery",No issues with delivery,Love my new sofa,4,3,5
1,Restaurant ABC,Bought a table that broke within a week. Staff was dismissive when I called.,3,47,2023,2023-11-24,We apologize for the inconvenience.,2023-11-27,3,Dismissive staff when called,No information,Table broke within a week,2,0,1
2,Restaurant ABC,"Decent selection, but delivery took much longer than promised.",0,9,2022,2022-10-26,Thank you for your feedback!,2022-11-07,12,Decent selection,Delivery took longer than promised,No information,3,2,0
3,Restaurant ABC,"Quality furniture and great in-store service, but the delivery was late.",3,36,2021,2021-06-15,We apologize for the inconvenience.,2021-06-19,4,Great in-store service,Late delivery,Quality furniture,4,2,4
4,Restaurant ABC,Staff were rude. I won't be coming back despite the good product range.,4,38,2022,2022-12-16,Thank you for your feedback!,2022-12-23,7,Rude staff,No information,Good product range,1,0,3
5,Restaurant ABC,Superb quality! Bought a bed and it's very comfortable. Staff was kind.,2,45,2023,2023-04-13,We apologize for the inconvenience.,2023-04-22,9,Kind staff,No information,Superb quality bed,4,0,5
6,Restaurant ABC,Expected more from a store with such reviews. Products are mediocre.,5,16,2021,2021-08-13,Thank you for your feedback!,2021-08-18,5,Expected more,No information,Mediocre products,2,0,2
7,Restaurant ABC,Impressed with the quality of the chairs. Quick delivery!,3,33,2022,2022-02-22,We apologize for the inconvenience.,2022-03-04,10,Impressed with quality of chairs,Quick delivery,No information,4,4,0
8,Restaurant ABC,Terrible service! Waited weeks for my order and it came damaged.,2,43,2023,2023-08-11,Thank you for your feedback!,2023-08-21,10,Terrible service,"Waited weeks, damaged order",No information,1,1,0
9,Restaurant ABC,"Staff went out of their way to help. But, the dining set is average at best.",1,30,2021,2021-02-09,We apologize for the inconvenience.,2021-02-24,15,Staff went out of their way to help,No information,Average dining set,4,0,3
10,Restaurant ABC,Ordered a shelf; poor quality and wobbly. Expected better from this store.,2,5,2023,2023-08-05,Thank you for your feedback!,2023-08-13,8,No information,No information,"Poor quality, wobbly shelf",0,0,1
11,Restaurant ABC,Amazing service! Staff guided me through every step. Happy with my purchase.,3,44,2023,2023-12-19,We apologize for the inconvenience.,2023-12-23,4,Amazing service,No information,Happy with purchase,5,0,4
12,Restaurant ABC,Delivery was a disaster. Two weeks late and the package was damaged.,2,32,2022,2022-03-08,Thank you for your feedback!,2022-03-14,6,No information,"Late delivery, damaged package",No information,0,1,0
13,Restaurant ABC,Customer service is top-notch. They resolved my issue promptly.,2,8,2021,2021-04-21,We apologize for the inconvenience.,2021-04-21,0,Top-notch customer service,No information,No information,5,0,0
14,Restaurant ABC,Stunning collection! I always find unique pieces here. Staff is also very knowledgeable.,3,47,2021,2021-11-01,Thank you for your feedback!,2021-11-07,6,Knowledgeable staff,No information,Stunning collection,4,0,4
15,Restaurant ABC,Bought a desk and it's of terrible quality. Very disappointed.,3,4,2022,2022-02-25,We apologize for the inconvenience.,2022-02-27,2,No information,No information,Terrible quality desk,0,0,1
16,Restaurant ABC,Highly recommend! Great quality furniture and excellent customer service.,2,15,2022,2022-12-20,Thank you for your feedback!,2023-01-03,14,Excellent customer service,No information,Great quality furniture,5,0,5
17,Restaurant ABC,Delivery guys were rude and didn't handle the furniture well.,0,19,2022,2022-06-25,We apologize for the inconvenience.,2022-07-03,8,Delivery guys were rude,No information,No information,1,0,0
18,Restaurant ABC,Lovely store ambiance. The staff makes you feel very welcomed.,4,2,2022,2022-11-17,Thank you for your feedback!,2022-12-02,15,Lovely store ambiance,No information,No information,4,0,0
19,Restaurant ABC,Products are overpriced for the quality they offer.,0,10,2021,2021-08-07,We apologize for the inconvenience.,2021-08-08,1,No information,No information,Overpriced products,0,0,2
20,Restaurant ABC,Great deals during the sale! Got a fabulous couch at half the price.,1,29,2021,2021-10-21,Thank you for your feedback!,2021-10-25,4,Great deals during sale,No information,Fabulous couch at half the price,4,0,5
21,Restaurant ABC,Horrible experience. The table I bought had termites!,1,12,2023,2023-02-25,We apologize for the inconvenience.,2023-03-11,14,Horrible experience,No information,Table had termites,1,0,1
22,Restaurant ABC,The installation team did a great job setting up my bedroom.,0,1,2023,2023-08-12,Thank you for your feedback!,2023-08-18,6,Great job by installation team,No information,No information,4,0,0
23,Restaurant ABC,Delivery time is a joke! They always deliver later than promised.,5,33,2021,2021-09-17,We apologize for the inconvenience.,2021-09-19,2,No information,Always deliver later than promised,No information,0,2,0
24,Restaurant ABC,Found the perfect lamp for my study. Thanks to the staff for their suggestions.,0,25,2023,2023-05-17,Thank you for your feedback!,2023-05-27,10,Staff suggestions for lamp,No information,No information,4,0,0
25,Restaurant ABC,Expected better quality. The drawers of the chest I bought are misaligned.,0,19,2022,2022-02-26,We apologize for the inconvenience.,2022-03-12,14,No information,No information,Misaligned drawers,0,0,2
26,Restaurant ABC,Been buying from here for years. Quality has gone down.,2,39,2021,2021-08-04,Thank you for your feedback!,2021-08-18,14,Been buying for years,No information,Quality has gone down,3,0,2
27,Restaurant ABC,Exceptional service! The staff was patient and helped me choose the right furniture.,3,37,2022,2022-01-11,We apologize for the inconvenience.,2022-01-20,9,"Patient staff, helped choose",No information,No information,4,0,0
28,Restaurant ABC,Very displeased. The sofa color looked different from what was shown online.,2,25,2023,2023-02-08,Thank you for your feedback!,2023-02-19,11,Sofa color different from online,No information,No information,2,0,0
29,Restaurant ABC,Always a pleasure shopping here. They never disappoint with their collection.,4,33,2022,2022-09-07,We apologize for the inconvenience.,2022-09-11,4,Always a pleasure shopping,No information,Never disappoint with collection,4,0,4
30,Restaurant ABC,Bought a bed that started creaking within a month. Not worth the price.,5,10,2021,2021-07-17,Thank you for your feedback!,2021-07-28,11,No information,No information,Creaking bed within a month,0,0,2
31,Restaurant ABC,Love their eco-friendly collection. Good quality and looks elegant.,5,31,2022,2022-02-07,We apologize for the inconvenience.,2022-02-14,7,No information,No information,"Good quality, elegant eco-friendly collection",0,0,4
32,Restaurant ABC,Staff wasn't helpful. Had to figure everything out on my own.,5,17,2022,2022-06-02,Thank you for your feedback!,2022-06-13,11,Staff wasn't helpful,No information,No information,2,0,0
33,Restaurant ABC,The dining set I purchased is the star of my home. Absolutely beautiful!,3,46,2023,2023-08-27,We apologize for the inconvenience.,2023-08-31,4,Delightful shopping experience,"Quick delivery, wrong item",Beautiful dining set,5,2,5
34,Restaurant ABC,Worst purchase ever. The wardrobe doors are uneven.,1,44,2021,2021-01-26,Thank you for your feedback!,2021-02-09,14,Worst purchase ever,No information,Uneven wardrobe doors,1,0,2
35,Restaurant ABC,Great store layout. Makes shopping easy and pleasant.,3,34,2023,2023-08-25,We apologize for the inconvenience.,2023-09-09,15,Easy and pleasant shopping,No information,No information,4,0,0
36,Restaurant ABC,"Delivery was quick, but they sent the wrong furniture piece!",3,21,2021,2021-02-15,Thank you for your feedback!,2021-02-26,11,Delightful shopping experience,"Quick delivery, wrong item",Wrong furniture piece,5,2,2
37,Restaurant ABC,Quality has deteriorated. Not the same store it used to be.,3,28,2023,2023-09-15,We apologize for the inconvenience.,2023-09-16,1,Deteriorated store quality,No information,No information,2,0,0
38,Restaurant ABC,Kudos to the staff! Made my shopping experience delightful.,4,38,2023,2023-06-27,Thank you for your feedback!,2023-06-28,1,Delightful shopping experience,No information,No information,5,0,0
39,Restaurant ABC,Bought a rug. The color faded after one wash. Very disappointed.,3,19,2022,2022-02-18,We apologize for the inconvenience.,2022-03-01,11,Very disappointed,No information,Faded color after wash,1,0,2
40,Restaurant ABC,Fantastic offers during the festive season. Made a great purchase.,1,5,2023,2023-01-25,Thank you for your feedback!,2023-02-01,7,Fantastic festive offers,No information,Great purchase,4,0,4
41,Restaurant ABC,The coffee table I bought is wobbly. Expected better stability.,0,49,2022,2022-07-18,We apologize for the inconvenience.,2022-07-25,7,Expected better stability,No information,Wobbly coffee table,2,0,2
42,Restaurant ABC,The store offers a great blend of traditional and modern designs. Love it!,1,50,2022,2022-02-02,Thank you for your feedback!,2022-02-11,9,Love the blend of designs,No information,No information,5,0,0
43,Restaurant ABC,Terrible customer support. They didn't resolve my complaint.,0,20,2023,2023-06-06,We apologize for the inconvenience.,2023-06-13,7,Terrible customer support,No information,No information,1,0,0
44,Restaurant ABC,Best place to buy furniture. Quality and design are unmatched.,4,13,2023,2023-01-09,Thank you for your feedback!,2023-01-24,15,Best place to buy furniture,No information,Unmatched quality and design,5,0,5
45,Restaurant ABC,The mattress I bought is uncomfortable. Woke up with back pain.,1,34,2021,2021-03-01,We apologize for the inconvenience.,2021-03-16,15,Uncomfortable mattress,No information,Woke up with back pain,2,0,2
46,Restaurant ABC,Love their kids' furniture collection. Fun and safe designs.,5,26,2023,2023-04-09,Thank you for your feedback!,2023-04-19,10,Fun and safe kids' furniture,No information,No information,4,0,0
47,Restaurant ABC,Staff didn't have knowledge about the products. Gave misleading information.,1,0,2022,2022-07-24,We apologize for the inconvenience.,2022-08-07,14,Misleading information,No information,No information,2,0,0
48,Restaurant ABC,My go-to store for home decor. Always find something interesting.,3,41,2022,2022-09-24,Thank you for your feedback!,2022-10-06,12,Interesting home decor,No information,No information,4,0,0
49,Restaurant ABC,Very disappointed. The bookshelf I bought can't even handle weight properly.,3,28,2023,2023-02-12,We apologize for the inconvenience.,2023-02-13,1,Very disappointed,No information,Bookshelf can't handle weight,1,0,2
50,Restaurant ABC,Great customization options. Got the furniture tailored to my needs.,5,35,2023,2023-10-02,Thank you for your feedback!,2023-10-08,6,Great customization options,No information,Tailored furniture,4,0,4
51,Restaurant ABC,The installation was rushed. They left marks on my wall.,0,3,2022,2022-11-12,We apologize for the inconvenience.,2022-11-17,5,"Rushed installation, wall marks",No information,No information,2,0,0
52,Restaurant ABC,Their vintage collection is to die for! Bought some classic pieces.,2,45,2023,2023-01-19,Thank you for your feedback!,2023-01-25,6,Vintage collection to die for,No information,No information,5,0,0
53,Restaurant ABC,Bought chairs and they're very uncomfortable. Regret the purchase.,3,45,2021,2021-01-05,We apologize for the inconvenience.,2021-01-08,3,Regret the purchase,No information,Uncomfortable chairs,1,0,2
54,Restaurant ABC,Helpful staff and a wide range of furniture options. Highly recommend.,0,43,2022,2022-09-01,Thank you for your feedback!,2022-09-01,0,"Helpful staff, wide range",No information,No information,4,0,0
55,Restaurant ABC,Delivery was a hassle. Multiple delays and lack of communication.,2,19,2022,2022-08-25,We apologize for the inconvenience.,2022-08-29,4,Hassle with delivery,"Multiple delays, lack of communication",No information,2,1,0
56,Restaurant ABC,Found the perfect centerpiece for my living room. Quality is top-notch.,3,30,2021,2021-03-11,Thank you for your feedback!,2021-03-23,12,"Perfect centerpiece, top-notch quality",No information,No information,5,0,0
57,Restaurant ABC,"Expected a smooth delivery. Instead, got a damaged product.",1,13,2022,2022-08-17,We apologize for the inconvenience.,2022-08-24,7,"Damaged product, unexpected",No information,No information,2,0,0
58,Restaurant ABC,Staff is courteous and they have a great return policy. Trustworthy store.,4,35,2022,2022-07-14,Thank you for your feedback!,2022-07-22,8,"Courteous staff, great return policy",No information,No information,4,0,0
59,Restaurant ABC,Bought curtains and they were of a different length. Poor quality check.,2,28,2021,2021-07-14,We apologize for the inconvenience.,2021-07-24,10,Poor quality check,No information,Curtains of different length,2,0,2
60,Restaurant ABC,Fantastic service. They even helped me visualize the setup in my home.,3,34,2023,2023-02-03,Thank you for your feedback!,2023-02-05,2,"Fantastic service, visualized setup",No information,No information,5,0,0
61,Restaurant ABC,The sofa set I ordered has a different fabric. Not what I expected.,3,12,2022,2022-12-18,We apologize for the inconvenience.,2022-12-22,4,Not what I expected,No information,Different fabric sofa set,2,0,2
62,Restaurant ABC,Great store for budget buys. Good quality at affordable prices.,4,19,2021,2021-10-16,Thank you for your feedback!,2021-10-18,2,Great store for budget buys,No information,No information,4,0,0
63,Restaurant ABC,Terrible experience. The staff lost my order and there was a long delay.,2,26,2023,2023-08-19,We apologize for the inconvenience.,2023-08-30,11,"Terrible experience, long delay","Lost order, long delay",No information,1,1,0
64,Restaurant ABC,Found a gem of a table. Love the intricate designs they offer.,4,5,2021,2021-06-10,Thank you for your feedback!,2021-06-19,9,Found a gem of a table,No information,Intricate designs,5,0,4
65,Restaurant ABC,The wardrobe I bought doesn't close properly. Poor design.,4,36,2023,2023-08-05,We apologize for the inconvenience.,2023-08-15,10,Poorly designed wardrobe,No information,Doesn't close properly,2,0,2
66,Restaurant ABC,Excellent store for all home needs. Always satisfied with my purchases.,4,8,2022,2022-03-25,Thank you for your feedback!,2022-04-01,7,Excellent store for home needs,No information,No information,5,0,0
67,Restaurant ABC,Got a damaged product and the return process was a nightmare.,1,8,2021,2021-09-28,We apologize for the inconvenience.,2021-09-28,0,Difficult return process for damaged product,No information,Damaged product,2,0,1
68,Restaurant ABC,The staff gives great recommendations. Found the perfect dresser.,1,25,2023,2023-11-07,Thank you for your feedback!,2023-11-11,4,Great staff recommendations,No information,Found perfect dresser,4,0,5
69,Restaurant ABC,The bed I bought is squeaky. It's been just a few months!,4,37,2023,2023-06-28,We apologize for the inconvenience.,2023-07-13,15,Squeaky bed within few months,No information,No information,2,0,0
70,Restaurant ABC,A wide range of options and styles. Always something for everyone.,4,8,2023,2023-02-15,Thank you for your feedback!,2023-02-21,6,Wide range of options and styles,No information,Always something for everyone,4,0,4
71,Restaurant ABC,Very unhappy. The couch cushions sagged within a week.,3,2,2021,2021-03-14,We apologize for the inconvenience.,2021-03-19,5,Unhappy with sagging couch cushions,No information,No information,2,0,0
72,Restaurant ABC,Always get compliments for the furniture I buy from here. Love this store.,2,21,2021,2021-11-19,Thank you for your feedback!,2021-11-27,8,"Compliments for furniture, love the store",No information,No information,5,0,0
73,Restaurant ABC,The dining set I received had scratches. Quality control issues.,0,16,2021,2021-09-02,We apologize for the inconvenience.,2021-09-11,9,"Scratched dining set, quality control issues",No information,No information,2,0,0
74,Restaurant ABC,Coolest designs and the store keeps up with the latest trends.,4,9,2021,2021-06-27,Thank you for your feedback!,2021-07-02,5,"Coolest designs, keeps up with trends",No information,No information,5,0,0
75,Restaurant ABC,The desk I bought is flimsy. Not worth the high price.,0,25,2021,2021-04-28,We apologize for the inconvenience.,2021-05-10,12,"Flimsy desk, not worth high price",No information,No information,2,0,0
76,Restaurant ABC,Store offers great post-purchase support. They address issues promptly.,3,44,2022,2022-07-26,Thank you for your feedback!,2022-08-03,8,Great post-purchase support,No information,No information,4,0,0
77,Restaurant ABC,Delivery team mishandled my furniture. Saw them being careless.,3,4,2021,2021-01-18,We apologize for the inconvenience.,2021-01-28,10,Mishandled furniture by delivery team,No information,No information,2,0,0
78,Restaurant ABC,Love the minimalist designs. My home looks modern and chic now.,2,26,2023,2023-11-07,Thank you for your feedback!,2023-11-11,4,"Minimalist designs, modern and chic",No information,No information,5,0,0
79,Restaurant ABC,Bought a lamp and it stopped working within days. Poor quality.,3,31,2023,2023-09-25,We apologize for the inconvenience.,2023-10-04,9,Lamp stopped working within days,No information,No information,2,0,0
80,Restaurant ABC,Staff takes time to understand your needs. Very personalized service.,0,7,2021,2021-01-23,Thank you for your feedback!,2021-02-07,15,Staff takes time to understand needs,No information,No information,4,0,0
81,Restaurant ABC,The rug I ordered sheds a lot. Very messy and not up to the mark.,3,42,2021,2021-07-21,We apologize for the inconvenience.,2021-07-28,7,"Shedding rug, messy and not up to mark",No information,No information,2,0,0
82,Restaurant ABC,Beautiful store with a vast collection. Always a joy to visit.,5,25,2021,2021-10-09,Thank you for your feedback!,2021-10-16,7,Beautiful store with vast collection,No information,No information,4,0,0
83,Restaurant ABC,The furniture assembly was a disaster. Incomplete and messy.,1,33,2021,2021-07-05,We apologize for the inconvenience.,2021-07-07,2,Disaster furniture assembly,No information,No information,2,0,0
84,Restaurant ABC,Excellent craftsmanship. The woodwork on the furniture is impeccable.,2,15,2022,2022-03-23,Thank you for your feedback!,2022-04-04,12,"Excellent craftsmanship, impeccable woodwork",No information,No information,5,0,0
85,Restaurant ABC,The mirror I bought had a crack. Very disappointed with the quality.,4,26,2023,2023-10-28,We apologize for the inconvenience.,2023-11-01,4,"Mirror with crack, disappointed with quality",No information,No information,2,0,0
86,Restaurant ABC,Very innovative designs. They offer unique pieces not found elsewhere.,1,7,2022,2022-03-23,Thank you for your feedback!,2022-04-02,10,"Innovative designs, unique pieces",No information,No information,4,0,0
87,Restaurant ABC,Terrible experience. The mattress had a weird smell that won't go away.,4,7,2022,2022-03-09,We apologize for the inconvenience.,2022-03-09,0,"Weird smell in mattress, terrible experience",No information,No information,2,0,0
88,Restaurant ABC,Love shopping during their sales. Great discounts on premium products.,1,20,2021,2021-03-13,Thank you for your feedback!,2021-03-21,8,Great discounts during sales,No information,No information,4,0,0
89,Restaurant ABC,The TV unit I bought is not stable. Safety concerns for my family.,4,47,2023,2023-10-12,We apologize for the inconvenience.,2023-10-13,1,"Unstable TV unit, safety concerns",No information,No information,2,0,0
90,Restaurant ABC,The store has a great ambiance. Staff is attentive and helpful.,4,49,2022,2022-05-14,Thank you for your feedback!,2022-05-29,15,"Great ambiance, attentive and helpful staff",No information,No information,4,0,0
91,Restaurant ABC,The wardrobe I ordered came with missing parts. Incomplete delivery.,5,50,2023,2023-12-05,We apologize for the inconvenience.,2023-12-10,5,"Wardrobe with missing parts, incomplete delivery",No information,No information,2,0,0
92,Restaurant ABC,Extensive collection. I always find what I'm looking for.,1,43,2023,2023-07-16,Thank you for your feedback!,2023-07-24,8,"Extensive collection, always find what I'm looking for",No information,No information,4,0,0
93,Restaurant ABC,Delivery was late and they didn't even apologize. Very unprofessional.,2,17,2023,2023-01-13,We apologize for the inconvenience.,2023-01-23,10,Late delivery without apology,No information,No information,2,0,0
94,Restaurant ABC,Beautiful artifacts to complement the furniture. Bought some lovely pieces.,4,20,2022,2022-05-11,Thank you for your feedback!,2022-05-18,7,Beautiful artifacts to complement furniture,No information,No information,4,0,0
95,Restaurant ABC,The table I received is of a different color. Not as per the online image.,5,36,2021,2021-12-21,We apologize for the inconvenience.,2021-12-23,2,"Table of different color, not as per image",No information,No information,2,0,0
96,Restaurant ABC,Store has great bundle offers. Bought a complete room set at a good price.,5,19,2022,2022-03-03,Thank you for your feedback!,2022-03-12,9,"Great bundle offers, complete room set",No information,No information,4,0,0
97,Restaurant ABC,The dresser I got is chipped. Not a pleasant experience.,3,24,2022,2022-08-12,We apologize for the inconvenience.,2022-08-19,7,"Chipped dresser, not a pleasant experience",No information,No information,2,0,0
98,Restaurant ABC,Stylish designs that are also functional. Very satisfied with my purchases.,4,12,2023,2023-05-05,Thank you for your feedback!,2023-05-08,3,Stylish and functional designs,No information,No information,4,0,0
99,Restaurant ABC,Bought a couch and the stitching is coming off. Poor craftsmanship.,3,14,2021,2021-11-25,We apologize for the inconvenience.,2021-12-05,10,"Couch with coming off stitching, poor craftsmanship",No information,No information,2,0,0
